filename	caption
001-login.png	`/names.nsf?Login` — EAMS-A / SAML login stub with the synthetic persona table (no password; `DomAuthSessId` session cookie is issued).
002-heraldry-home.png	`HeraldryHome.xsp` — requester landing page with request links, status counts and the Notes-blue header bar.
003-request-new.png	`Request?OpenForm` — blank DD Form 1348-6 requisition (blocks 1-3, 4-12, 13, 27) with catalog line item.
004-request-validation-errors.png	Submitting invalid DODAAC / UIC and missing required fields returns HTTP 400 with the Domino-style validation error table produced by the form's @Formulas.
005-request-saved.png	Request `W6KJAA62640801` saved as Submitted with one line (quantity 2) and status history.
006-modify-landing.png	`ModifyRequest.xsp` landing — the requester's editable (not yet released) requests.
007-modify-request.png	`ModifyRequest.xsp?documentId=…` — header fields, justification and per-line quantity are editable.
008-request-modified.png	Justification change saved; the request document shows the updated text and a modification entry in the status history.
009-quantity-update-saved.png	Line quantity updated from 2 to 3; `ExtendedPrice` re-extended by `@Round(Quantity * UnitPrice; 0.01)` to $92.31 at $30.77 each.
010-request-total-reextended.png	Parent request `TotalValue` follows the line and now reads $92.31.
011-modify-quantity-over-limit.png	Quantity 9999 rejected with HTTP 400 and the catalog item's maximum-quantity validation; saved quantity remains 3.
012-modify-quantity-nonnumeric.png	Non-numeric quantity `ABC` rejected with HTTP 400 and the whole-number validation message.
013-status-inquiry-document.png	`StatusInquiry.xsp` — anonymous lookup form by document number, with optional DODAAC filter.
014-status-inquiry-number-result.png	Inquiry by document number returns the new request, its lines and its status history.
015-status-inquiry-dodaac-error.png	DODAAC-only submission returns the "Enter a document number" validation message instead of an empty page.
016-second-request-saved.png	Second request `W6KJAA62640802` created for the cancellation path.
017-request-cancelled.png	`CancelRequest` — second request and its line show status Cancelled with the cancellation reason in the history.
018-ses-request-form.png	`SESFlag.xsp` — Senior Executive Service flag request form with the existing SES queue.
019-ses-request-submitted.png	SES flag request `SES-2026-0061` submitted by the unit requester (status Submitted).
020-request-released-to-vendor.png	`ReleaseToVendor` by the TACOM heraldry lead — request assigned to the vendor, `ReleasedDate` set, modification lock note shown.
021-modify-blocked-after-release.png	Requester attempting `ModifyRequest.xsp` on the released request receives HTTP 403 and the legacy `Error 4091` block.
022-quantity-blocked-after-release.png	A stale line-quantity form submitted after release also returns HTTP 403 / `Error 4091`.
023-released-total-unchanged.png	Released request retains quantity 3 and total $92.31 after the blocked update attempts.
024-ses-request-approved.png	`[SESApprover]` approves `SES-2026-0061`; status Approved with approver and date recorded.
025-vendor-queue-whitcombe.png	`VendorQueue.xsp?vendor=…` viewed by TACOM staff — released work for Liberty Colors LLC.
026-vendor-queue-halvorsen.png	Same vendor queue as the `[Vendor]` persona (Halvorsen), limited to their own vendor's work.
027-requests-by-status.png	`RequestsByStatus?OpenView` — categorized `<table border=1>` view with twisties and document counts.
028-requests-collapsed.png	Collapse All — only category rows remain, paged by category.
029-requests-expanded.png	Expand All restores the document rows.
030-requests-twisty-closed.png	A single category twisty collapsed.
031-requests-category-filter.png	Category link restricts the view to one status (`RestrictToCategory`).
032-requests-by-unit.png	`RequestsByUnit?OpenView` — requests categorized by unit designation.
033-requests-by-dodaac.png	`RequestsByDODAAC?OpenView` — requests categorized by DODAAC / UIC.
034-open-vendor-work.png	`OpenVendorWork?OpenView` — released, unfulfilled requests categorized by vendor.
035-ses-flag-queue.png	`SESFlagQueue?OpenView` — SES flag requests by status.
036-heraldic-catalog.png	`HeraldicCatalog?OpenView` — 120 heraldic items (guidons, colors, streamers, insignia) with NSN-like stock numbers and quantity limits.
037-status-inquiry-view.png	`StatusInquiry?OpenView` — the lookup view behind `StatusInquiry.xsp`.
038-heraldry-all.png	`($All)?OpenView` — every heraldry document, including response hierarchy indentation.
039-heraldry-lookups.png	`($Lookups)?OpenView` — hidden keyed lookup view.
040-request-with-attachments.png	Seeded request document (`?OpenDocument`) with `$FILE` attachment links, Readers/Authors items and `$UpdatedBy`.
041-file-attachment-stub.png	`/0/<unid>/$File/<name>` — attachment metadata stub explaining that attachment bytes are not part of the export.
042-vet-casesbystage.png	`vetmedals.nsf/CasesByStage?OpenView` — awards cases categorized by stage with aging chips.
